;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
769;29.0;F;parda;entre 6 e 3 salarios;todo em escola privada;A
770;29.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
771;42.0;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
772;34.5;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
773;42.7;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
774;42.0;F;parda;entre 10 e 30 salarios;todo em escola privada;A
775;31.0;F;parda;entre 1.5 e 3 salarios;maior parte em escola privada;A
776;36.2;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
777;42.5;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
778;29.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
779;57.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
780;29.9;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
781;35.2;F;preta;menor que 1.5 salarios;todo em escola privada;A
782;41.4;F;amarela;entre 4.5 e 6 salarios;todo em escola privada;A
783;41.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
784;30.4;F;nsr;entre 3 e 4.5 salarios;todo em escola publica;A
785;37.5;F;preta;entre 3 e 4.5 salarios;todo em escola privada;A
786;33.9;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
787;20.8;F;preta;entre 4.5 e 6 salarios;maior parte em escola privada;A
788;55.9;F;parda;entre 6 e 3 salarios;todo em escola publica;A
789;32.0;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
790;48.5;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
791;31.5;F;branca;maior que 30 salarios;todo em escola privada;A
792;29.3;F;branca;menor que 1.5 salarios;todo em escola publica;A
